Genus,Species,N,Tmax,max_metric,error,error measure,Multiple measures,max_pretreatment,max_ramp,lat_max,long_max,elevation_max,REF_max,location_max,N_1,tmin,min_metric,error_2,error_type,Multiple measures_min,min_pretreatment,ramp_min,lat_min,long_min,elevation_min,REF_min,location_min,Phylum,Class,Order,Family,Quality of UTNZ,name,Class
Alectoria,ochroleuca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.1,ctmin,NA,NA,N,NA,NA,46.8,10.9,2300,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,NA,Alectoria ochroleuca,Fungus
Cetraria,aculeata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.7,ctmin,NA,NA,N,NA,NA,49.1,8.3,NA,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,NA,Cetraria aculeata,Fungus
Cladonia,foliacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-26.3,ctmin,NA,NA,N,NA,NA,49.1,8.3,NA,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,NA,Cladonia foliacea,Fungus
Cladonia,furcata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16,ctmin,NA,NA,N,NA,NA,49.1,8.3,NA,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,NA,Cladonia furcata,Fungus
Cladonia,rangiformis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.7,ctmin,NA,NA,N,NA,NA,49.1,8.3,NA,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Cladoniaceae,NA,Cladonia rangiformis,Fungus
Hypogymnia,physodes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.6,ctmin,NA,NA,N,NA,NA,49.6,9,NA,Lange_1965,2,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,NA,Hypogymnia physodes,Fungus
Letharia,vulpina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.6,ctmin,NA,NA,N,NA,NA,46.8,10.9,1950,Lange_1965,1,Ascomycota,Lecanoromycetes,Lecanorineae,Parmeliaceae,NA,Letharia vulpina,Fungus
Lacerta,agilis,11,43.9,ctmax,0.2,SE,N,35,1,48.52,1.98,137,Bauwens_et_al_1995,2,NA,5.9,ctmin,NA,NA,N,NA,NA,50.9,-0.1,200,Spellerberg_1975,2,Chordata,Lepidosauria,Squamata,Lacertidae,NA,Lacerta agilis,Reptile
Podarcis,muralis,15,44.2,ctmax,0.13,SE,N,35,1,40.41,-5.06,1603,Bauwens_et_al_1995,2,NA,5.9,ctmin,NA,NA,N,NA,NA,51.8,5.9,NA,Huey_unpubl_data_in_Huey_et_al_2012,NA,Chordata,Lepidosauria,Squamata,Lacertidae,NA,Podarcis muralis,Reptile
Zootoca,vivipara,6,43.9,ctmax,0.2,SE,N,NA,NA,49.88,17.2,250,Gvozdik_&_Castilla_2001,1,6,1.9,ctmin,0.3,SE,N,NA,NA,49.88,17.2,250,Gvozdik_&_Castilla_2001,1,Chordata,Lepidosauria,Squamata,Lacertidae,NA,Zootoca vivipara,Reptile
Hemidactylus,turcicus,9,41.1,ctmax,NA,NA,N,NA,NA,29.18,-102.96,1680,Huey_et_al_1989a,1,9,10.5,ctmin,NA,NA,N,NA,NA,29.18,-102.96,1680,Huey_et_al_1989a,1,Chordata,Lepidosauria,Squamata,Gekkonidae,NA,Hemidactylus turcicus,Reptile
