PHYLUM,CLASS,ORDER,SPECIES
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius violaceorubens
Ascomycota,Leotiomycetes,Erysiphales,Erysiphe caricae
Basidiomycota,Agaricomycetes,Agaricales,Calvatia tatrensis
Ascomycota,Pezizomycetes,Pezizales,Tricharia phaeoloma
Ascomycota,Dothideomycetes,Pleosporales,Pleospora luzulae
Ascomycota,Leotiomycetes,Rhytismatales,Psilachnum ellisii
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius mellinus
Ascomycota,Dothideomycetes,Tubeufiales,Acanthophiobolus helicosporus
Ascomycota,Pezizomycetes,Pezizales,Aleurina olivaceofusca
Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidium robustius
Ascomycota,Leotiomycetes,Rhytismatales,Lophodermium tumidulum
Ascomycota,Sordariomycetes,Hypocreales,Sphaerostilbella berkeleyana
Ascomycota,Pezizomycetes,Pezizales,Balsamia fragiformis
Mucoromycota,Mucoromycetes,Mucorales,Pilobolus oedipus
Ascomycota,Leotiomycetes,Helotiales,Pyrenopeziza foliicola
Basidiomycota,Agaricomycetes,Agaricales,Agaricus litoralis
Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeria stellariae
Ascomycota,Dothideomycetes,Pleosporales,Cucurbitaria ignavis
Basidiomycota,Agaricomycetes,Agaricales,Schizophyllum spec.
Basidiomycota,Pucciniomycetes,Pucciniales,Puccinia luzulae
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius bovinellus
Basidiomycota,Agaricomycetes,Agaricales,Pholiota henningsii
Ascomycota,Leotiomycetes,Helotiales,Mollisia potentillae-erectae
Ascomycota,Sordariomycetes,Sordariales,Sordaria superba
Amoebozoa,Myxogastrea,Stemonitida,Stemonitopsis amoena
Ascomycota,Leotiomycetes,Helotiales,Pyrenopeziza mercurialidis
Ascomycota,Leotiomycetes,Rhytismatales,Lophodermium nonramosum
Basidiomycota,Ustilaginomycetes,Urocystidales,Sorosporium saponariae
Ascomycota,Geoglossomycetes,Geoglossales,Trichoglossum tetrasporum
Basidiomycota,Ustilaginomycetes,Ustilaginales,Anthracoidea capillaris
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius euchrous
Ascomycota,Pezizomycetes,Pezizales,Helvella auricula
Basidiomycota,Agaricomycetes,Hymenochaetales,Tubulicrinis cinctoides
Basidiomycota,Agaricomycetes,Agaricales,Entoloma sphagneti
Ascomycota,Leotiomycetes,Helotiales,Hymenoscyphus robustior
Ascomycota,Leotiomycetes,Helotiales,Durella fagicola
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius squamulifer
Basidiomycota,Agaricomycetes,Agaricales,Cortinarius arcifolius
Ascomycota,Leotiomycetes,Helotiales,Rutstroemia lindaviana
