Species,Taxon,Body Mass,LTNZ,UTNZ,TNZ,Latitude,Longitude,Acclimatization*,Reference
,,(g),(°C),(°C),(°C),(°N),(°W),,
Histiotus velatus,Vesperitilionidae,11.2,25,31,7,-20.493,-49.221,W,McNab 1969
Miniopterus schreibersii,Vespertilionidae,10.91,32.5,37.5,5,-12.275,130.5,W,"Baudinette et al ., 2000"
Lasiurus cinereus,Vespertilionidae,27.5,30,34,4,35.01,-106.62,A,Cryan and Wolf 2003
Myotis thysanodes,Vespertilionidae,6,32.5,36.5,4,35.65,-105.65,W,O'Farrell and Studier 1970
Nyctophilus gouldi,Vespertilionidae,10,30.7,32.5,1.8,30.354,151.443,W,Geiser and Brigham 2000
Nyctophilus geoffroyi,Vespertilionidae,7,29.1,33.2,4.1,30.355,151.445,W,Geiser and Brigham 2000
Chalinolobus gouldii,Vespertilionidae,17.5,35,40,5,-32.04,115.51,W,Hosken and Withers 1997
Myotis keaysi,Vespertilionidae,5,29.2,33.4,4.2,8.382,-71.261,W,Machado and Soriano 2007
Myotis oxyotus,Vespertilionidae,4.8,25.2,32.5,7.3,8.381,-71.266,W,Machado and Soriano 2007
Myotis lucifugus,Vespertilionidae,9.5,32.5,34.5,2,38.62,-92.566,W,Machado and Soriano 2007
Vespadelus vulturnus,Vespertilionidae,4,27.6,33.3,5.7,-30.35,151.44,W,"Willis et al ., 2005"
,Cingulata,,,,,,,,
Chaetophractus nationi,Dasypodidae,2150,29,35,6,-16.17,-63.35,A,McNab 1980
Chaetophractus vellerosus,Dasypodidae,1110,30,35,5,-40.431,-63.371,A,McNab 1980
Dasypus novemcinctus,Dasypodidae,3320,28,38,10,29.391,-82.19,W,McNab 1980
Euphractus sexcinctus,Dasypodidae,8190,26,37,11,-22.37,-44.4,A,McNab 1980
Tolypeutes matacus,Dasypodidae,1160,28,36,8,-40.432,-63.372,A,McNab 1980
Zaedyus pichiy,Dasypodidae,1740,28,35,7,-40.433,-63.373,W,McNab 1980
,Dasyuromorphia,,,,,,,,
Dasycercus cristicauda,Dasyuridae,86,30,37,7,-37.63,145.78,W,Kennedy and Macfarlane 1971
Ningaui yvonnae,Dasyuridae,11.6,32,35,3,-42.434,146.59,W,Geiser and Baudinette 1988
Planigale gilesi,Dasyuridae,9.4,28,33,5,-36.46,174.36,A,Geiser and Baudinette 1988
Planigale maculata,Dasyuridae,13.1,31,35,4,-12.28,131.03,A,Morton and Lee 1978
Sminthopsis crassicaudata,Dasyuridae,19,31,38,7,-22.75,133.79,W,Geiser and Baudinette 1988
Sminthopsis macroura,Dasyuridae,24.8,31.3,34,2.7,-37.72,145.04,W,"Song et al .,1995"
,Didelphimorpha,,,,,,,,
Caluromys derbianus,Didelphidae,357,26.36,35,8.64,9.08,-79.423,A,McNab 1978
Chironectes minimus,Didelphidae,946,24.5,34,9.5,8.32,-80.461,W,McNab 1978
Didelphis marsupialis,Didelphidae,1329,25.5,36,10.5,23.38,-79.53,W,McNab 1978
Didelphis virginiana,Didelphidae,3257,22,34,12,29.393,-82.193,W,McNab 1978
Lutreolina crassicaudata,Didelphidae,812,27,35,8,-41.241,-63.374,A,McNab 1978
Marmosa lepida,Didelphidae,106,31,35,4,36.057,-115.131,W,Nelson and Yousaf 1979
Marmosa robinsoni,Didelphidae,122,26,36,10,8.53,-80.78,W,McNab 1978
Metachirus nudicaudatus,Didelphidae,336,27.5,36,8.5,9.33,-79.39,W,McNab 1978
Monodelphis brevicaudata,Didelphidae,111,28.76,36,7.24,10.42,-70.57,W,McNab 1978
Philander opossum,Didelphidae,751,29.5,36,6.5,9.01,-79.5,A,McNab 1978
Thylamys elegans,Didelphidae,40.2,27.5,35,7.5,-23.445,-69.603,A,"Bozinovic et al ., 2005"
,Diprotodontia,,,,,,,,
Acrobates pygmaeus,Burramyidae,14,34,35.1,1.1,-37.57,145.33,W,Fleming 1985
Cercartetus lepidus,Burramyidae,12,29,33,4,-35.47,141.29,A,Geiser 1987
,,,,,,,,,
Cercartetus concinnus,Burramyidae,18.6,28,30,2,-30,136.209,W,Geiser 1987
Lagorchestes conspicillatus,Macropodidae,2660,25,35,5,-20.45,115.25,W,Dawson and Bennett 1978
Macropus giganteus,Macropodidae,26200,15,35,20,-35.151,145.345,W,"Dawson and Hulbert 1970; Dawson et al .,"
,,,,,,,,,2000
Macropus rufus,Macropodidae,32490,25,35,10,-35.112,145.34,W,"Dawson and Hulbert 1970; Dawson et al .,"
,,,,,,,,,2000
Setonix brachyurus,Macropodidae,2674,20,32.5,12.5,-31.99,115.54,W,Kinnear and Shield 1975
Dendrolagus matschiei,Macropodidae,6960,27,37,10,-5.315,141,A,McNab 1988
Petaurus breviceps,Petauridae,128.1,27,31,4,-37.46,145.12,W,Fleming 1980; Dawson and Hulbert 1970
Phalanger carmelitae,Phalangeridae,1389.7,12.5,32.5,20,-5.233,145.788,A,McNab 2008
Spilocuscus maculatus,Phalangeridae,4250,20.8,35.4,14.6,-5.092,140.711,W,Dawson and Degabriele 1973
Phalanger sericeus,Phalangeridae,1353.2,15,30,15,-4.716,145.25,A,McNab 2008
Phascolarctos cinereus,Phascolarctidae,4765,20,26,6,-31.15,146.55,A,Degabriele and Dawson 1979
Potorous tridactylus,Potoroidae,1120,20,30,10,-42.541,147.19,W,Nicol 1976
Bettongia gaimardi,Potoroidae,1700,10,20,10,-40.42,147.14,A,Rose 1997
Cercartetus nanus,Pseudocheiridae,70,31,35,4,-42.522,147.192,W,Bartholomew and MacMillen 1961
Pseudocheirus peregrinus,Pseudocheiridae,872,25,32.5,7.5,-27.671,121.62,W,Kinnear and Shield 1975
Cercopithecus mitis,Pseudocheiridae,8500,5,28,23,-1.171,36.471,A,"Muller et al ., 1983"
Petauroides volans,Pseudocheiridae,1141,18,25,7,-31.53,151.68,A,"Rübsamen et al ., 1984"
Tarsipes rostratus,Tarsipedidae,10,28,34,6,-33.56,119.3,W,"Withers et al ., 1990"
Lasiorhinus latifrons,Vombatidae,25000,25,39,14,-33.331,22.561,W,Wells 1978
,Erinaceomorpha,,,,,,,,
