species,tmax (°C),tmin (°C),tmax metric,tmin metric,acclim-ated (Y/N),latitude collected,hemis-phere,altitude >600 m,habitat,phylum,class,order,family,Ref.
Liolaemus koslowskyi,46.1,13.22,crit.,crit.,Y,28.8,S,800,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus kriegi,43.67,7.6,crit.,crit.,Y,42.1,S,950,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus laurenti,46.18,12.2,crit.,crit.,Y,30.1,S,800,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus melanops,44.94,5.65,crit.,crit.,Y,42.3,S,900,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus multicolor,44.7,8.06,crit.,crit.,Y,40.4,S,0,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus multimaculatus,43.83,8.93,crit.,crit.,Y,38.5,S,0,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus olongasta,44.58,11.85,crit.,crit.,Y,29.8,S,900,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus petrophilus,45.23,7.31,crit.,crit.,Y,42.3,S,900,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus poecilochromus,44.16,9.35,crit.,crit.,Y,27.5,S,3500,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus pseudoanomalus,45.93,12.19,crit.,crit.,Y,28.8,S,990,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus quilmes,44.69,8.46,crit.,crit.,Y,26.6,S,1600,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus riojanus,45.2,10.7,crit.,crit.,Y,30.2,S,500,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus robertmertensi,43,14.07,crit.,crit.,Y,28.8,S,690,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus rothi,43.8,5.5,crit.,crit.,Y,40.3,S,500,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus salinicola,48.21,14.2,crit.,crit.,Y,27.5,S,0,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus scapularis,45.57,9.39,crit.,crit.,Y,26.6,S,1000,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus scrocchi,43.91,8.83,crit.,crit.,Y,24.1,S,3200,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus sp._3,43.85,9.67,crit.,crit.,Y,24.3,S,3300,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Liolaemus xanthoviridis,44.48,7.86,crit.,crit.,Y,43.7,S,0,terr.,Chordata,Reptilia,Squamata,Tropiduridae,14
Elgaria multicarinatus_webbi,41.4,2.2,crit.,crit.,N,34,N,no data,terr.,Chordata,Reptilia,Squamata,Anguidae,15
Halozetes fulvus,39.9,-6.9,crit.,leth.,Y,46.9,S,0,terr.,Arthropoda,Arachnida,Acarina,Oribatidae,19
Podacarus auberti,39.5,-5.1,crit.,leth.,Y,46.9,S,0,terr.,Arthropoda,Arachnida,Acari,Podacaridae,19
Plestiodon elegans,41.9,9.3,crit.,crit.,N,30.3,N,18,terr.,Chordata,Reptilia,Squamata,Scincidae,20
Imbrasia belina,43.1,8.8,crit.,crit.,N,28,S,no data,terr.,Arthropoda,Insecta,Lepidoptera,Saturniidae,23
Zootoca vivipara,43.9,1.9,crit.,crit.,N,49.9,N,250,terr.,Chordata,Reptilia,Squamata,Lacertidae,24
Laudakia stellio,45,12.6,crit.,crit.,N,30.8,N,170,terr.,Chordata,Reptilia,Squamata,Agamidae,26
Trapelus savignyi,47.2,12,crit.,crit.,N,31.1,N,330,terr.,Chordata,Reptilia,Squamata,Agamidae,26
Coptotermes formosanus,45.9,7.2,crit.,crit.,Y,39.4,N,200,terr.,Arthropoda,Insecta,Isoptera,Rhinotermitidae,27
Reticulitermes flavipes,44.85,1.6,crit.,crit.,Y,39.4,N,200,terr.,Arthropoda,Insecta,Isoptera,Rhinotermitidae,27
Sphenomorphus incognitus,41.5,11.6,crit.,crit.,Y,23,N,0,terr.,Chordata,Reptilia,Squamata,Scincidae,28
Sphenomorphus taiwanensis,38.4,4.9,crit.,crit.,Y,24,N,2700,terr.,Chordata,Reptilia,Squamata,Scincidae,28
Protobothrops mucrosquamatus,38.6,3.5,crit.,crit.,Y,23.8,N,0,terr.,Chordata,Reptilia,Squamata,Viperidae,29
Trimeresurus gracilis,38.3,3.7,crit.,crit.,Y,23.5,N,2000,terr.,Chordata,Reptilia,Squamata,Viperidae,29
Trimeresurus stejnegeri_stejnegeri,38.9,5.6,crit.,crit.,Y,24.7,N,0,terr.,Chordata,Reptilia,Squamata,Viperidae,29
Sphaerodactylus gaigeae,38.2,12.5,crit.,crit.,N,18.1,N,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,within 30
Sphaerodactylus klauberi,36.3,10.4,crit.,crit.,N,18.1,N,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,within 30
Sphaerodactylus macrolepis,39.5,11.8,crit.,crit.,N,18,N,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,within 30
Sphaerodactylus nicholsi,40.5,12.6,crit.,crit.,N,18,N,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,within 30
Sphaerodactylus roosevelti,39.5,11.4,crit.,crit.,N,18,N,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,within 30
Sphaerodactylus townsendi,41.7,11.4,crit.,crit.,N,18.3,N,no data,terr.,Chordata,Reptilia,Squamata,Gekkonidae,within 30
Anolis cristatellus,37.1,8.9,crit.,crit.,N,18.5,N,no data,terr.,Chordata,Reptilia,Squamata,Polychrotidae,31
Anolis cooki,38.8,9.3,crit.,crit.,N,18.1,N,no data,terr.,Chordata,Reptilia,Squamata,Polychrotidae,within 30
Anolis gundlachi,35.4,6.3,crit.,crit.,N,18.2,N,no data,terr.,Chordata,Reptilia,Squamata,Polychrotidae,within 30
Sceloporus merriami,41.5,14.1,crit.,crit.,N,29.2,N,no data,terr.,Chordata,Reptilia,Squamata,Iguania,within 30
Phymaturus patagonicus,39.9,9.8,crit.,crit.,N,41,S,900,terr.,Chordata,Reptilia,Squamata,Tropiduridae,32
Myro kerguelenensis,35.4,-7.1,crit.,crit.,Y,46.9,S,99,terr.,Arthropoda,Arachnida,Araneae,Desidae,33
Prinerigone vagans,35.9,-8.1,crit.,crit.,Y,46.9,S,88,terr.,Arthropoda,Arachnida,Araneae,Linyphiidae,33
Linepithema humile,40,-1,crit.,crit.,Y,33.9,S,136,terr.,Arthropoda,Insecta,Hymenoptera,Formicidae,34
Drosophila albomicans,32.5,5.3,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila angularis,34.4,-2.1,crit.,leth.,N,35.5,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila auraria,33.9,-3.3,crit.,leth.,N,43.1,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila biauraria,32.5,-2.7,crit.,leth.,N,43.1,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila bipectinata,33.5,7.1,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila bizonata,32.9,-2.7,crit.,leth.,N,35.5,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila bocki,33.2,6.8,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila brachynephros,33.6,-3.7,crit.,leth.,N,43.1,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila curvispina,32.6,-4.5,crit.,leth.,N,43.1,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila daruma,33.4,-0.2,crit.,leth.,N,35,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila elegans,33.6,3.6,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila ficusphila,33.5,1.7,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila kanekoi,35.4,-5.5,crit.,leth.,N,43.1,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila lacertosa,31,0.7,crit.,leth.,N,43.1,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila lacteicornis,32.5,1.7,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila lutescens,31.1,0.5,crit.,leth.,N,35.5,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila nigromaculata,34.3,-4.5,crit.,leth.,N,43.1,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila orientacea,31.9,-4.5,crit.,leth.,N,43.1,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila quadrilineata,33.9,6.8,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila ruberrima,32.1,2.5,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila rufa,32.9,0.6,crit.,leth.,N,35.5,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila sternopleuralis,31.4,1.7,crit.,leth.,N,35.5,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila suzukii,32.7,-1.2,crit.,leth.,N,35.5,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila takahashii,32.5,4.5,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Drosophila unispina,32.3,-3.5,crit.,leth.,N,43.1,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Hirtodrosophila histrioides,32.3,-3.5,crit.,leth.,N,43.1,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Scaptodrosophila bryani,35.5,4.2,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Scaptodrosophila coracina,34.5,-2.4,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Scaptodrosophila dorsocentralis,34.2,8.3,crit.,leth.,N,24.3,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Scaptodrosophila pallida,33.9,-6.3,crit.,leth.,N,43.1,N,no data,terr.,Arthropoda,Insecta,Diptera,Drosophilidae,35
Pringleophaga marioni,38.7,-6,crit.,crit.,N,46.9,S,99,terr.,Arthropoda,Insecta,Lepidoptera,Tineidae,36
Spodoptera exempta,55.94,11.81,crit.,crit.,N,25.7,S,1282,terr.,Arthropoda,Insecta,Lepidoptera,Noctuidae,37
Embryonopsis halticella,39.7,-0.2,crit.,crit.,Y,46.9,S,no data,terr.,Arthropoda,Insecta,Lepidoptera,Yponomeutidae,38
Paractora dreuxi,35.5,-5.5,crit.,crit.,N,46.9,S,99,terr.,Arthropoda,Insecta,Diptera,Helcomyzidae,39
Bothrometopus brevis,34.4,-5.1,crit.,crit.,Y,53,S,5,terr.,Arthropoda,Insecta,Coleoptera,Curculionidae,40
Bothrometopus gracilipes,36.8,-6,crit.,crit.,Y,53,S,200,terr.,Arthropoda,Insecta,Coleoptera,Curculionidae,40
Canonopsis sericeus,38.7,-5,crit.,crit.,Y,53,S,5,terr.,Arthropoda,Insecta,Coleoptera,Curculionidae,40
Ectemnorhinus viridis,33.9,-4.6,crit.,crit.,Y,53,S,5,terr.,Arthropoda,Insecta,Coleoptera,Curculionidae,40
Platysaurus intermedius,44.8,8.9,crit.,crit.,N,24.6,S,640,terr.,Chordata,Reptilia,Squamata,Cordylidae,41
Desmognathus fuscus,35,-2.3,crit.,crit.,Y,39.7,N,300,terr.,Chordata,Amphibia,Caudata,Plethodontidae,42
